problem_id,evol_code_10_0_dsc,evol_code_plus_general_9_7_0_3_dsc
HumanEval_0_has_close_elements,1,1
HumanEval_1_separate_paren_groups,1,1
HumanEval_2_truncate_number,1,1
HumanEval_3_below_zero,1,1
HumanEval_4_mean_absolute_deviation,1,1
HumanEval_5_intersperse,1,1
HumanEval_6_parse_nested_parens,1,1
HumanEval_7_filter_by_substring,1,1
HumanEval_8_sum_product,1,1
HumanEval_9_rolling_max,1,1
HumanEval_10_make_palindrome,1,1
HumanEval_11_string_xor,1,1
HumanEval_12_longest,1,1
HumanEval_13_greatest_common_divisor,0,0
HumanEval_14_all_prefixes,1,1
HumanEval_15_string_sequence,0,0
HumanEval_16_count_distinct_characters,1,1
HumanEval_17_parse_music,1,1
HumanEval_18_how_many_times,0,0
HumanEval_19_sort_numbers,1,1
HumanEval_20_find_closest_elements,1,1
HumanEval_21_rescale_to_unit,1,1
HumanEval_22_filter_integers,1,1
HumanEval_23_strlen,0,0
HumanEval_24_largest_divisor,1,1
HumanEval_25_factorize,1,1
HumanEval_26_remove_duplicates,1,1
HumanEval_27_flip_case,1,1
HumanEval_28_concatenate,1,1
HumanEval_29_filter_by_prefix,1,1
HumanEval_30_get_positive,1,1
HumanEval_31_is_prime,0,1
HumanEval_32_find_zero,1,1
HumanEval_33_sort_third,1,1
HumanEval_34_unique,0,0
HumanEval_35_max_element,0,1
HumanEval_36_fizz_buzz,1,1
HumanEval_37_sort_even,0,0
HumanEval_38_decode_cyclic,0,0
HumanEval_39_prime_fib,1,1
HumanEval_40_triples_sum_to_zero,0,0
HumanEval_41_car_race_collision,0,0
HumanEval_42_incr_list,1,1
HumanEval_43_pairs_sum_to_zero,1,1
HumanEval_44_change_base,1,1
HumanEval_45_triangle_area,1,1
HumanEval_46_fib4,1,1
HumanEval_47_median,0,0
HumanEval_48_is_palindrome,1,1
HumanEval_49_modp,0,0
HumanEval_50_decode_shift,1,1
HumanEval_51_remove_vowels,0,0
HumanEval_52_below_threshold,0,0
HumanEval_53_add,1,1
HumanEval_54_same_chars,1,1
HumanEval_55_fib,1,1
HumanEval_56_correct_bracketing,1,1
HumanEval_57_monotonic,1,1
HumanEval_58_common,0,0
HumanEval_59_largest_prime_factor,0,0
HumanEval_60_sum_to_n,1,1
HumanEval_61_correct_bracketing,0,0
HumanEval_62_derivative,1,1
HumanEval_63_fibfib,0,0
HumanEval_64_vowels_count,0,0
HumanEval_65_circular_shift,1,1
HumanEval_66_digitSum,0,0
HumanEval_67_fruit_distribution,1,1
HumanEval_68_pluck,0,1
HumanEval_69_search,1,1
