problem_id,evol_algorithmic_practical_0_10_run_1_dsc,evol_algorithmic_practical_2_8_run_1_dsc,evol_algorithmic_practical_5_5_run_1_dsc,evol_algorithmic_practical_8_2_run_1_dsc,evol_algorithmic_practical_10_0_run_1_dsc,evol_algorithmic_practical_0_10_run_2_dsc,evol_algorithmic_practical_2_8_run_2_dsc,evol_algorithmic_practical_5_5_run_2_dsc,evol_algorithmic_practical_8_2_run_2_dsc,evol_algorithmic_practical_10_0_run_2_dsc,evol_algorithmic_practical_0_10_run_3_dsc,evol_algorithmic_practical_2_8_run_3_dsc,evol_algorithmic_practical_5_5_run_3_dsc,evol_algorithmic_practical_8_2_run_3_dsc,evol_algorithmic_practical_10_0_run_3_dsc
HumanEval/0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HumanEval/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HumanEval/10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HumanEval/12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/32,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HumanEval/33,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
HumanEval/34,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
HumanEval/35,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0
HumanEval/36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/37,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
HumanEval/38,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
HumanEval/39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/40,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
HumanEval/41,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
HumanEval/42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HumanEval/44,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/46,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
HumanEval/47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/50,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0
HumanEval/51,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
HumanEval/52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/53,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
HumanEval/54,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
HumanEval/55,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/56,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
HumanEval/57,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0
HumanEval/58,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
HumanEval/59,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HumanEval/60,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
HumanEval/61,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/63,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
HumanEval/64,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HumanEval/65,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/66,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
HumanEval/67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/68,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
HumanEval/69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/70,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
HumanEval/71,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/72,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/74,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0
HumanEval/75,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/78,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
HumanEval/79,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
HumanEval/80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/81,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
HumanEval/82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/83,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
