problem_id,evol_algorithmic_practical_0_10_run_1_cq,evol_algorithmic_practical_2_8_run_1_cq,evol_algorithmic_practical_5_5_run_1_cq,evol_algorithmic_practical_8_2_run_1_cq,evol_algorithmic_practical_10_0_run_1_cq,evol_algorithmic_practical_0_10_run_2_cq,evol_algorithmic_practical_2_8_run_2_cq,evol_algorithmic_practical_5_5_run_2_cq,evol_algorithmic_practical_8_2_run_2_cq,evol_algorithmic_practical_10_0_run_2_cq,evol_algorithmic_practical_0_10_run_3_cq,evol_algorithmic_practical_2_8_run_3_cq,evol_algorithmic_practical_5_5_run_3_cq,evol_algorithmic_practical_8_2_run_3_cq,evol_algorithmic_practical_10_0_run_3_cq
HumanEval/0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HumanEval/5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/18,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/19,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
HumanEval/20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/32,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
HumanEval/33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/36,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/37,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0
HumanEval/38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HumanEval/39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/40,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0
HumanEval/41,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HumanEval/42,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1
HumanEval/43,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
HumanEval/44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HumanEval/50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/51,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/52,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/56,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
HumanEval/57,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HumanEval/61,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
HumanEval/62,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
HumanEval/63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/66,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
HumanEval/67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HumanEval/69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
