problem_id,oss_algorithmic_practical_0_10_run_1_cq,oss_algorithmic_practical_2_8_run_1_cq,oss_algorithmic_practical_5_5_run_1_cq,oss_algorithmic_practical_8_2_run_1_cq,oss_algorithmic_practical_10_0_run_1_cq,oss_algorithmic_practical_0_10_run_2_cq,oss_algorithmic_practical_2_8_run_2_cq,oss_algorithmic_practical_5_5_run_2_cq,oss_algorithmic_practical_8_2_run_2_cq,oss_algorithmic_practical_10_0_run_2_cq,oss_algorithmic_practical_0_10_run_3_cq,oss_algorithmic_practical_2_8_run_3_cq,oss_algorithmic_practical_5_5_run_3_cq,oss_algorithmic_practical_8_2_run_3_cq,oss_algorithmic_practical_10_0_run_3_cq
HumanEval/0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/30,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
HumanEval/31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/32,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1
HumanEval/33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
HumanEval/34,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1
HumanEval/35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HumanEval/38,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HumanEval/39,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/40,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/45,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/46,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/48,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
HumanEval/49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HumanEval/50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
