problem_id,oss_algorithmic_practical_0_10_run_1_dsc,oss_algorithmic_practical_2_8_run_1_dsc,oss_algorithmic_practical_5_5_run_1_dsc,oss_algorithmic_practical_8_2_run_1_dsc,oss_algorithmic_practical_10_0_run_1_dsc,oss_algorithmic_practical_0_10_run_2_dsc,oss_algorithmic_practical_2_8_run_2_dsc,oss_algorithmic_practical_5_5_run_2_dsc,oss_algorithmic_practical_8_2_run_2_dsc,oss_algorithmic_practical_10_0_run_2_dsc,oss_algorithmic_practical_0_10_run_3_dsc,oss_algorithmic_practical_2_8_run_3_dsc,oss_algorithmic_practical_5_5_run_3_dsc,oss_algorithmic_practical_8_2_run_3_dsc,oss_algorithmic_practical_10_0_run_3_dsc
HumanEval/0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/3,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
HumanEval/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/29,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/30,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
HumanEval/31,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1
HumanEval/32,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/33,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/34,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
HumanEval/35,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
HumanEval/36,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
HumanEval/37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/38,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
HumanEval/39,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
HumanEval/40,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HumanEval/41,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/42,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
HumanEval/43,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
HumanEval/44,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/45,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HumanEval/46,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
HumanEval/47,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HumanEval/48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanEval/49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HumanEval/50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
