problem_id,evol_low_diversity_dsc,evol_medium_diversity_dsc,evol_high_diversity_dsc
HumanEval/0,1,1,1
HumanEval/1,1,1,1
HumanEval/2,1,0,1
HumanEval/3,1,1,1
HumanEval/4,1,1,1
HumanEval/5,1,1,1
HumanEval/6,1,1,1
HumanEval/7,1,1,1
HumanEval/8,1,1,1
HumanEval/9,0,1,0
HumanEval/10,1,1,1
HumanEval/11,1,1,1
HumanEval/12,0,1,0
HumanEval/13,1,1,1
HumanEval/14,1,1,1
HumanEval/15,1,1,1
HumanEval/16,1,1,1
HumanEval/17,1,0,1
HumanEval/18,1,1,1
HumanEval/19,0,1,0
HumanEval/20,1,1,1
HumanEval/21,1,1,1
HumanEval/22,1,1,1
HumanEval/23,1,1,1
HumanEval/24,1,1,1
HumanEval/25,1,1,1
HumanEval/26,1,1,1
HumanEval/27,1,1,1
HumanEval/28,1,0,1
HumanEval/29,1,1,1
HumanEval/30,0,1,1
HumanEval/31,1,0,1
HumanEval/32,0,1,1
HumanEval/33,1,1,1
HumanEval/34,1,1,1
HumanEval/35,1,1,0
HumanEval/36,1,0,1
HumanEval/37,1,1,1
HumanEval/38,1,1,1
HumanEval/39,0,1,0
HumanEval/40,1,1,1
HumanEval/41,1,0,1
HumanEval/42,0,1,0
HumanEval/43,0,1,1
HumanEval/44,1,0,1
HumanEval/45,0,1,1
HumanEval/46,1,1,1
HumanEval/47,1,0,1
HumanEval/48,1,1,1
HumanEval/49,1,0,1
HumanEval/50,1,0,1
HumanEval/51,0,1,1
HumanEval/52,0,1,1
HumanEval/53,1,1,1
HumanEval/54,1,0,1
HumanEval/55,0,1,0
HumanEval/56,1,1,1
HumanEval/57,0,1,1
HumanEval/58,1,1,1
HumanEval/59,1,0,1
HumanEval/60,0,1,0
HumanEval/61,1,0,1
HumanEval/62,1,1,1
HumanEval/63,1,0,1
HumanEval/64,1,0,1
HumanEval/65,1,1,1
HumanEval/66,1,1,1
HumanEval/67,1,1,1
HumanEval/68,1,1,1
HumanEval/69,1,0,1
HumanEval/70,1,1,1
HumanEval/71,0,1,0
HumanEval/72,1,1,1
HumanEval/73,1,1,1
HumanEval/74,1,1,1
HumanEval/75,1,1,0
HumanEval/76,1,1,1
HumanEval/77,0,1,0
HumanEval/78,0,1,0
HumanEval/79,1,0,1
HumanEval/80,0,1,1
HumanEval/81,0,1,1
HumanEval/82,1,1,1
HumanEval/83,0,1,0
HumanEval/84,0,1,1
HumanEval/85,1,0,1
HumanEval/86,1,1,1
HumanEval/87,0,1,0
HumanEval/88,1,1,1
HumanEval/89,1,1,1
HumanEval/90,1,0,1
HumanEval/91,1,1,1
HumanEval/92,1,0,1
HumanEval/93,0,1,0
HumanEval/94,1,1,1
HumanEval/95,1,1,1
HumanEval/96,0,1,0
HumanEval/97,1,1,1
HumanEval/98,0,1,1
HumanEval/99,0,1,0
HumanEval/100,1,1,1
HumanEval/101,1,1,1
HumanEval/102,1,0,1
HumanEval/103,1,1,1
HumanEval/104,1,0,1
HumanEval/105,0,1,1
HumanEval/106,1,1,1
HumanEval/107,1,0,1
HumanEval/108,0,1,0
HumanEval/109,1,0,1
HumanEval/110,1,1,1
HumanEval/111,0,1,0
HumanEval/112,1,1,1
HumanEval/113,1,1,1
HumanEval/114,1,1,1
HumanEval/115,1,1,1
HumanEval/116,1,1,1
HumanEval/117,1,1,1
HumanEval/118,0,1,0
HumanEval/119,1,0,1
HumanEval/120,0,1,0
HumanEval/121,1,1,1
HumanEval/122,1,0,1
HumanEval/123,1,1,1
HumanEval/124,1,1,1
HumanEval/125,1,1,1
HumanEval/126,1,0,1
HumanEval/127,1,1,1
HumanEval/128,1,0,1
HumanEval/129,0,1,0
HumanEval/130,0,1,1
HumanEval/131,0,1,0
HumanEval/132,1,1,1
HumanEval/133,1,0,1
HumanEval/134,0,1,0
HumanEval/135,0,0,1
HumanEval/136,1,0,0
HumanEval/137,0,0,1
HumanEval/138,0,0,0
HumanEval/139,0,1,0
HumanEval/140,0,0,0
HumanEval/141,0,0,0
HumanEval/142,0,1,0
HumanEval/143,0,0,0
HumanEval/144,0,1,0
HumanEval/145,1,0,0
HumanEval/146,0,1,0
HumanEval/147,0,0,0
HumanEval/148,0,0,0
HumanEval/149,1,0,0
HumanEval/150,1,0,0
HumanEval/151,0,0,0
HumanEval/152,0,0,1
HumanEval/153,0,0,0
HumanEval/154,0,0,1
HumanEval/155,0,0,0
HumanEval/156,1,0,0
HumanEval/157,1,0,0
HumanEval/158,0,0,1
HumanEval/159,0,0,0
HumanEval/160,0,1,0
HumanEval/161,0,0,0
HumanEval/162,0,0,1
HumanEval/163,0,0,0
