problem_id,evol_low_complexity_dsc,evol_medium_complexity_dsc,evol_high_complexity_dsc
HumanEval/0,1,1,1
HumanEval/1,1,0,0
HumanEval/2,1,1,1
HumanEval/3,1,1,1
HumanEval/4,1,1,1
HumanEval/5,1,1,1
HumanEval/6,1,1,1
HumanEval/7,1,1,1
HumanEval/8,1,1,1
HumanEval/9,1,1,1
HumanEval/10,1,1,1
HumanEval/11,0,0,0
HumanEval/12,1,1,1
HumanEval/13,1,1,1
HumanEval/14,1,1,1
HumanEval/15,1,1,1
HumanEval/16,1,1,1
HumanEval/17,1,1,1
HumanEval/18,1,1,1
HumanEval/19,1,1,1
HumanEval/20,1,1,1
HumanEval/21,1,1,1
HumanEval/22,1,1,1
HumanEval/23,0,1,1
HumanEval/24,1,1,1
HumanEval/25,1,1,1
HumanEval/26,0,0,0
HumanEval/27,1,1,1
HumanEval/28,1,1,1
HumanEval/29,1,1,1
HumanEval/30,1,1,1
HumanEval/31,0,0,0
HumanEval/32,1,1,1
HumanEval/33,0,0,0
HumanEval/34,1,1,1
HumanEval/35,1,1,1
HumanEval/36,1,1,0
HumanEval/37,1,1,1
HumanEval/38,0,1,1
HumanEval/39,1,1,1
HumanEval/40,0,0,1
HumanEval/41,1,1,1
HumanEval/42,0,1,0
HumanEval/43,1,1,1
HumanEval/44,0,1,0
HumanEval/45,1,1,1
HumanEval/46,0,1,1
HumanEval/47,1,1,0
HumanEval/48,1,1,1
HumanEval/49,0,1,1
HumanEval/50,1,1,1
HumanEval/51,1,1,1
HumanEval/52,1,1,0
HumanEval/53,0,0,0
HumanEval/54,1,1,1
HumanEval/55,0,0,1
HumanEval/56,1,1,1
HumanEval/57,1,1,0
HumanEval/58,1,1,1
HumanEval/59,1,1,0
HumanEval/60,1,1,1
HumanEval/61,0,0,1
HumanEval/62,1,1,1
HumanEval/63,1,1,1
HumanEval/64,0,0,1
HumanEval/65,1,1,1
HumanEval/66,1,1,1
HumanEval/67,1,1,1
HumanEval/68,0,0,1
HumanEval/69,1,1,1
HumanEval/70,1,1,1
HumanEval/71,1,1,1
HumanEval/72,1,1,1
HumanEval/73,1,1,1
HumanEval/74,1,0,0
HumanEval/75,1,1,1
HumanEval/76,1,1,1
HumanEval/77,0,0,1
HumanEval/78,1,1,1
HumanEval/79,1,1,1
HumanEval/80,1,1,1
HumanEval/81,0,1,1
HumanEval/82,1,1,1
HumanEval/83,1,1,1
HumanEval/84,1,1,1
HumanEval/85,1,1,1
HumanEval/86,1,1,1
HumanEval/87,1,1,1
HumanEval/88,0,0,1
HumanEval/89,1,1,1
HumanEval/90,1,1,1
HumanEval/91,1,1,1
HumanEval/92,1,1,1
HumanEval/93,1,1,1
HumanEval/94,0,0,0
HumanEval/95,1,1,1
HumanEval/96,1,1,1
HumanEval/97,0,1,0
HumanEval/98,1,1,1
HumanEval/99,1,0,0
HumanEval/100,1,1,1
HumanEval/101,1,1,1
HumanEval/102,1,1,0
HumanEval/103,0,0,1
HumanEval/104,1,1,1
HumanEval/105,1,1,1
HumanEval/106,1,1,1
HumanEval/107,1,1,1
HumanEval/108,1,1,1
HumanEval/109,0,1,1
HumanEval/110,1,1,1
HumanEval/111,1,1,1
HumanEval/112,1,1,0
HumanEval/113,1,1,1
HumanEval/114,1,1,0
HumanEval/115,0,1,1
HumanEval/116,1,1,1
HumanEval/117,1,1,1
HumanEval/118,1,1,1
HumanEval/119,1,1,0
HumanEval/120,1,1,1
HumanEval/121,0,0,1
HumanEval/122,1,1,0
HumanEval/123,1,1,0
HumanEval/124,0,1,1
HumanEval/125,1,1,1
HumanEval/126,1,1,1
HumanEval/127,1,1,1
HumanEval/128,0,0,1
HumanEval/129,0,1,0
HumanEval/130,0,0,1
HumanEval/131,1,1,1
HumanEval/132,1,1,1
HumanEval/133,1,1,0
HumanEval/134,0,0,0
HumanEval/135,0,0,0
HumanEval/136,0,0,0
HumanEval/137,0,0,0
HumanEval/138,0,0,0
HumanEval/139,0,0,0
HumanEval/140,0,0,0
HumanEval/141,0,0,0
HumanEval/142,0,0,0
HumanEval/143,0,0,0
HumanEval/144,0,0,0
HumanEval/145,0,0,0
HumanEval/146,1,1,1
HumanEval/147,0,0,0
HumanEval/148,0,0,0
HumanEval/149,0,0,0
HumanEval/150,0,0,0
HumanEval/151,0,0,0
HumanEval/152,0,0,0
HumanEval/153,1,0,0
HumanEval/154,1,1,1
HumanEval/155,0,0,0
HumanEval/156,0,0,0
HumanEval/157,0,0,0
HumanEval/158,0,0,0
HumanEval/159,0,0,0
HumanEval/160,0,0,0
HumanEval/161,0,0,0
HumanEval/162,0,1,1
HumanEval/163,0,0,0
